station_id,station_name,capacity,latitude,longitude
ST100,Central Station,25,48.892607,9.259799
ST101,University Campus,30,48.839528,9.216875
ST102,City Hall,20,48.818887,9.200056
ST103,Riverside Park,20,48.753088,9.295486
ST104,Market Square,25,48.890783,9.150117
ST105,Tech Hub,25,48.777511,9.195636
ST106,Old Town,30,48.814792,9.193684
ST107,Harbor View,20,48.809979,9.157
ST108,Sports Arena,25,48.804954,9.21841
ST109,West End,20,48.807369,9.297485
ST110,North Gate,10,48.756968,9.241132
ST111,Museum Quarter,30,48.817575,9.15199
ST112,Business District,10,48.894845,9.27126
ST113,Lakeside,10,48.752395,9.184634
ST114,Airport Terminal,25,48.816023,9.168306
